id,취미(선택)
71,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
71,자기계발 등 공부
71,"보드게임(부루마불, 할리갈리 등)"
71,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
72,예술 관련 관람 취미 (미술관 관람 등)
72,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
72,가무(노래 및 춤추기)
72,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
72,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
72,자기계발 등 공부
72,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
72,바이크
73,독서
73,음주
73,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
74,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
74,독서
75,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
75,"보드게임(부루마불, 할리갈리 등)"
76,예술 관련 관람 취미 (미술관 관람 등)
76,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
76,독서
76,음주
76,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
76,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
77,가무(노래 및 춤추기)
77,"보드게임(부루마불, 할리갈리 등)"
77,"동계 스포츠 활동 참여(스키, 스노보드 등)"
78,"악기 연주( 현악, 관악 등 모두 가능)"
78,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
78,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
78,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
78,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
79,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
79,등산
80,"악기 연주( 현악, 관악 등 모두 가능)"
80,예술 관련 관람 취미 (미술관 관람 등)
80,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
80,독서
80,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
80,자기계발 등 공부
81,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
81,독서
82,요리
82,예술 관련 관람 취미 (미술관 관람 등)
82,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
82,가무(노래 및 춤추기)
82,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
82,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
83,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
83,가무(노래 및 춤추기)
83,자기계발 등 공부
83,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
84,예술 관련 관람 취미 (미술관 관람 등)
84,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
84,독서
84,음주
84,자기계발 등 공부
84,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
84,"동계 스포츠 활동 참여(스키, 스노보드 등)"
85,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
85,음주
85,여행
86,예술 관련 관람 취미 (미술관 관람 등)
86,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
86,독서
86,음주
86,가무(노래 및 춤추기)
86,웨이트
87,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
87,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
87,독서
87,음주
88,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
88,음주
88,자기계발 등 공부
89,독서
89,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
89,자기계발 등 공부
90,요리
90,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
90,독서
90,음주
90,자기계발 등 공부
90,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
91,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
91,음주
91,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
91,"동계 스포츠 활동 참여(스키, 스노보드 등)"
92,요리
92,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
92,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
92,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
92,자기계발 등 공부
93,예술 관련 관람 취미 (미술관 관람 등)
93,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
93,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
93,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
94,예술 관련 관람 취미 (미술관 관람 등)
94,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
95,"악기 연주( 현악, 관악 등 모두 가능)"
95,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
95,예술 관련 관람 취미 (미술관 관람 등)
95,음주
95,가무(노래 및 춤추기)
95,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
96,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
96,가무(노래 및 춤추기)
96,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
96,"보드게임(부루마불, 할리갈리 등)"
97,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
97,육아…
98,예술 관련 관람 취미 (미술관 관람 등)
98,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
99,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
99,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
99,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
100,음주
100,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
101,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
101,예술 관련 관람 취미 (미술관 관람 등)
101,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
101,독서
